left_ir,right_ir,pos,left_motor,right_motor
351,305,g,24,24
371,332,g,24,24
378,318,g,24,24
373,368,g,24,24
368,389,g,24,24
391,375,g,24,24
385,385,g,24,24
390,360,g,24,24
399,398,g,24,24
397,416,l,24,-24
390,463,l,24,-24
384,423,l,24,-24
381,327,g,24,24
383,311,g,24,24
381,271,g,24,24
385,269,g,24,24
406,284,g,24,24
423,270,g,24,24
421,238,g,24,24
421,241,g,24,24
382,276,g,24,24
360,292,g,24,24
365,305,g,24,24
389,295,g,24,24
387,250,g,24,24
347,253,g,24,24
232,236,g,24,24
214,282,g,24,24
251,293,g,24,24
323,324,g,24,24
363,301,g,24,24
388,281,g,24,24
429,267,g,24,24
426,271,g,24,24
407,240,g,24,24
412,197,g,24,24
400,135,g,24,24
380,170,g,24,24
368,253,g,24,24
380,264,g,24,24
391,257,g,24,24
384,264,g,24,24
372,275,g,24,24
399,325,g,24,24
392,295,g,24,24
393,305,g,24,24
396,353,g,24,24
384,337,g,24,24
355,297,g,24,24
354,348,g,24,24
379,332,g,24,24
395,334,g,24,24
398,322,g,24,24
415,316,g,24,24
437,293,g,24,24
438,351,g,24,24
406,337,g,24,24
354,324,g,24,24
351,343,g,24,24
344,342,g,24,24
390,301,g,24,24
444,334,g,24,24
462,350,g,24,24
446,368,g,24,24
407,397,g,24,24
361,446,l,24,-24
351,455,l,24,-24
338,438,l,24,-24
332,422,l,24,-24
329,353,g,24,24
335,301,g,24,24
342,284,g,24,24
355,295,g,24,24
368,320,g,24,24
385,340,g,24,24
409,354,g,24,24
435,366,g,24,24
452,373,g,24,24
463,377,g,24,24
