left_ir,right_ir,pos,left_motor,right_motor
356,315,g,24,24
382,277,g,24,24
414,214,g,24,24
438,221,g,24,24
440,300,g,24,24
435,297,g,24,24
432,346,g,24,24
430,297,g,24,24
465,275,g,24,24
467,276,g,24,24
459,306,g,24,24
455,284,g,24,24
419,268,g,24,24
417,239,g,24,24
409,263,g,24,24
407,269,g,24,24
410,276,g,24,24
382,298,g,24,24
349,289,g,24,24
377,256,g,24,24
416,258,g,24,24
418,257,g,24,24
349,305,g,24,24
317,323,g,24,24
376,328,g,24,24
410,322,g,24,24
418,252,g,24,24
424,196,g,24,24
451,222,g,24,24
479,246,g,24,24
501,355,g,24,24
589,338,g,24,24
739,272,r,-24,24
874,255,r,-24,24
922,220,r,-24,24
916,199,r,-24,24
846,225,r,-24,24
764,246,r,-24,24
683,231,g,24,24
588,242,g,24,24
536,279,g,24,24
540,260,g,24,24
553,248,g,24,24
584,257,g,24,24
635,257,g,24,24
700,240,g,24,24
750,201,r,-24,24
797,259,r,-24,24
760,284,r,-24,24
642,273,g,24,24
519,272,g,24,24
480,291,g,24,24
480,289,g,24,24
472,265,g,24,24
452,232,g,24,24
490,234,g,24,24
552,238,g,24,24
592,293,g,24,24
588,353,g,24,24
606,366,g,24,24
671,308,g,24,24
743,338,r,-24,24
785,319,r,-24,24
765,271,r,-24,24
661,222,g,24,24
567,224,g,24,24
518,232,g,24,24
526,268,g,24,24
566,241,g,24,24
656,270,g,24,24
726,331,r,-24,24
782,322,r,-24,24
781,309,r,-24,24
687,347,g,24,24
598,291,g,24,24
537,315,g,24,24
531,316,g,24,24
541,297,g,24,24
595,215,g,24,24
678,232,g,24,24
732,255,r,-24,24
777,224,r,-24,24
739,241,r,-24,24
634,319,g,24,24
508,364,g,24,24
447,247,g,24,24
438,210,g,24,24
439,239,g,24,24
448,243,g,24,24
466,216,g,24,24
490,259,g,24,24
515,276,g,24,24
550,312,g,24,24
595,269,g,24,24
636,279,g,24,24
684,267,g,24,24
734,273,r,-24,24
801,192,r,-24,24
793,253,r,-24,24
723,234,g,24,24
605,185,g,24,24
516,254,g,24,24
490,286,g,24,24
517,265,g,24,24
527,222,g,24,24
530,229,g,24,24
555,244,g,24,24
600,238,g,24,24
633,179,g,24,24
675,224,g,24,24
757,243,r,-24,24
823,118,r,-24,24
845,141,r,-24,24
789,211,r,-24,24
702,227,g,24,24
597,185,g,24,24
541,243,g,24,24
544,254,g,24,24
550,240,g,24,24
560,189,g,24,24
610,216,g,24,24
693,262,g,24,24
752,308,r,-24,24
814,279,r,-24,24
821,188,r,-24,24
778,203,r,-24,24
680,245,g,24,24
591,305,g,24,24
532,253,g,24,24
532,197,g,24,24
551,206,g,24,24
585,248,g,24,24
630,256,g,24,24
673,263,g,24,24
710,241,g,24,24
744,261,r,-24,24
800,304,r,-24,24
813,304,r,-24,24
770,267,r,-24,24
667,284,g,24,24
577,293,g,24,24
511,321,g,24,24
503,307,g,24,24
526,308,g,24,24
572,333,g,24,24
617,318,g,24,24
639,342,g,24,24
645,352,g,24,24
691,303,g,24,24
769,342,r,-24,24
844,301,r,-24,24
854,250,r,-24,24
823,301,r,-24,24
736,316,r,-24,24
650,356,g,24,24
573,358,g,24,24
530,316,g,24,24
521,310,g,24,24
531,292,g,24,24
542,316,g,24,24
546,332,g,24,24
564,340,g,24,24
596,306,g,24,24
666,318,g,24,24
758,335,r,-24,24
830,318,r,-24,24
830,321,r,-24,24
759,296,r,-24,24
680,313,g,24,24
606,311,g,24,24
558,313,g,24,24
564,304,g,24,24
579,327,g,24,24
609,328,g,24,24
644,320,g,24,24
685,296,g,24,24
748,339,r,-24,24
824,319,r,-24,24
851,303,r,-24,24
835,306,r,-24,24
789,308,r,-24,24
699,296,g,24,24
602,251,g,24,24
547,222,g,24,24
518,246,g,24,24
504,248,g,24,24
529,251,g,24,24
594,228,g,24,24
687,240,g,24,24
799,252,r,-24,24
884,288,r,-24,24
930,252,r,-24,24
937,274,r,-24,24
931,296,r,-24,24
902,302,r,-24,24
847,267,r,-24,24
731,276,r,-24,24
591,250,g,24,24
475,260,g,24,24
427,278,g,24,24
429,301,g,24,24
475,261,g,24,24
585,174,g,24,24
699,149,g,24,24
813,174,r,-24,24
912,195,r,-24,24
959,192,r,-24,24
961,205,r,-24,24
935,219,r,-24,24
881,244,r,-24,24
835,228,r,-24,24
788,179,r,-24,24
722,203,g,24,24
665,202,g,24,24
644,193,g,24,24
650,196,g,24,24
740,209,r,-24,24
858,266,r,-24,24
921,245,r,-24,24
938,298,r,-24,24
937,261,r,-24,24
922,238,r,-24,24
889,248,r,-24,24
844,272,r,-24,24
795,287,r,-24,24
735,288,r,-24,24
670,320,g,24,24
622,299,g,24,24
599,281,g,24,24
593,248,g,24,24
653,213,g,24,24
737,213,r,-24,24
832,302,r,-24,24
887,261,r,-24,24
898,243,r,-24,24
883,152,r,-24,24
846,172,r,-24,24
778,215,r,-24,24
705,243,g,24,24
646,234,g,24,24
640,250,g,24,24
691,249,g,24,24
778,216,r,-24,24
880,257,r,-24,24
934,293,r,-24,24
939,304,r,-24,24
933,308,r,-24,24
921,288,r,-24,24
898,279,r,-24,24
870,254,r,-24,24
819,239,r,-24,24
754,232,r,-24,24
686,222,g,24,24
632,195,g,24,24
621,193,g,24,24
674,200,g,24,24
760,201,r,-24,24
844,230,r,-24,24
852,227,r,-24,24
862,302,r,-24,24
851,299,r,-24,24
808,306,r,-24,24
746,321,r,-24,24
688,306,g,24,24
647,284,g,24,24
632,282,g,24,24
632,295,g,24,24
674,290,g,24,24
725,294,g,24,24
787,315,r,-24,24
879,311,r,-24,24
930,332,r,-24,24
944,302,r,-24,24
938,317,r,-24,24
917,320,r,-24,24
878,327,r,-24,24
827,406,x,24,24
778,313,r,-24,24
762,322,r,-24,24
739,313,r,-24,24
702,336,g,24,24
669,303,g,24,24
655,324,g,24,24
648,331,g,24,24
686,337,g,24,24
728,323,r,-24,24
782,327,r,-24,24
785,321,r,-24,24
788,309,r,-24,24
755,276,r,-24,24
707,274,g,24,24
667,278,g,24,24
655,286,g,24,24
674,282,g,24,24
716,308,g,24,24
744,280,r,-24,24
785,236,r,-24,24
810,247,r,-24,24
829,232,r,-24,24
826,240,r,-24,24
821,219,r,-24,24
807,249,r,-24,24
787,296,r,-24,24
768,317,r,-24,24
743,304,r,-24,24
705,321,g,24,24
672,248,g,24,24
631,259,g,24,24
592,261,g,24,24
597,296,g,24,24
624,323,g,24,24
643,300,g,24,24
643,259,g,24,24
651,217,g,24,24
664,226,g,24,24
679,229,g,24,24
686,230,g,24,24
681,221,g,24,24
684,244,g,24,24
676,207,g,24,24
664,225,g,24,24
686,240,g,24,24
715,279,g,24,24
722,271,g,24,24
715,266,g,24,24
707,271,g,24,24
703,296,g,24,24
734,277,r,-24,24
743,296,r,-24,24
730,291,r,-24,24
696,298,g,24,24
642,321,g,24,24
585,308,g,24,24
560,315,g,24,24
605,329,g,24,24
575,307,g,24,24
554,301,g,24,24
540,275,g,24,24
519,301,g,24,24
503,295,g,24,24
504,280,g,24,24
489,331,g,24,24
457,286,g,24,24
433,236,g,24,24
422,249,g,24,24
407,299,g,24,24
392,366,g,24,24
401,325,g,24,24
363,249,g,24,24
316,246,g,24,24
351,274,g,24,24
